Division,Score
Southeastern Conference - West,40.9
Atlantic Coast Conference - Atlantic,36.6
Big Ten Conference - East,33.4
Atlantic Coast Conference - Coastal,29.9
Pac-12 Conference - North,29.3
American Athletic Conference - West,29.1
Mountain West Conference - Mountain,28.3
Pac-12 Conference - South,27.5
Big Ten Conference - West,27.3
Big 12 Conference,26.3
Southeastern Conference - East,25.3
Mid-American Conference - West,24.8
Independent,24.6
American Athletic Conference - East,21.4
Conference USA - East,17.3
Sun Belt Conference,16.5
Conference USA - West,14.3
Mountain West Conference - West,13.6
Mid-American Conference - East,10.6
FCS,0.6
