Division,Score
Mid-American Conference - West,33.4
Southeastern Conference - West,32.3
Big Ten Conference - West,30.7
Big 12 Conference,29.1
Big Ten Conference - East,29.0
Sun Belt Conference - East,28.3
Southeastern Conference - East,27.3
Atlantic Coast Conference - Coastal,25.8
Mid-American Conference - East,25.1
Mountain West Conference - Mountain,24.6
Pac-12 Conference - South,24.6
Independent,24.6
Atlantic Coast Conference - Atlantic,24.5
American Athletic Conference,24.4
Mountain West Conference - West,22.6
Pac-12 Conference - North,19.8
Conference USA - West,17.7
Conference USA - East,17.0
Sun Belt Conference - West,16.9
FCS,6.4
