Division,Score
Southeastern Conference - West,34.1
Southeastern Conference - East,32.3
Big Ten Conference - East,28.6
Big 12 Conference,26.9
Big Ten Conference - West,26.8
Atlantic Coast Conference - Atlantic,26.5
Atlantic Coast Conference - Coastal,26.3
Mountain West Conference - Mountain,22.2
Pac-12 Conference - South,22.0
Sun Belt Conference - East,21.7
Pac-12 Conference - North,21.3
American Athletic Conference - West,20.8
Independent,20.2
American Athletic Conference - East,18.4
Conference USA - East,17.9
Mountain West Conference - West,17.6
Mid-American Conference - West,17.2
Mid-American Conference - East,16.6
Conference USA - West,15.2
Sun Belt Conference - West,15.0
FCS,1.5
