Division,Score
Southeastern Conference - West,45.0
Pacific-10 Conference,33.6
Big 12 Conference - South,33.1
Independent,29.7
Big Ten Conference,29.4
Atlantic Coast Conference - Atlantic,29.1
Atlantic Coast Conference - Coastal,25.3
Big East Conference,24.6
Southeastern Conference - East,24.4
Mountain West Conference,23.7
Western Athletic Conference,23.3
Big 12 Conference - North,22.6
Conference USA - East,15.5
Mid-American Conference - West,15.4
Conference USA - West,15.0
Mid-American Conference - East,10.2
Sun Belt Conference,9.1
FCS,1.0
