Division,Score
Southeastern Conference - West,47.1
Pac-12 Conference - North,40.0
Pac-12 Conference - South,39.4
Big Ten Conference - Legends,38.8
Atlantic Coast Conference - Atlantic,38.4
Southeastern Conference - East,37.3
Atlantic Coast Conference - Coastal,35.6
Big Ten Conference - Leaders,35.4
Big 12 Conference,33.4
American Athletic Conference,24.9
Independent,24.2
Mountain West Conference - Mountain,23.6
Mountain West Conference - West,21.4
Mid-American Conference - West,21.0
Conference USA - West,20.9
Sun Belt Conference,20.5
Conference USA - East,18.4
Mid-American Conference - East,16.6
FCS,3.0
