Division,Score
Southeastern Conference - West,45.8
Big Ten Conference - East,34.8
Pac-12 Conference - South,34.2
Southeastern Conference - East,31.0
Atlantic Coast Conference - Atlantic,30.3
Atlantic Coast Conference - Coastal,30.1
Big 12 Conference,29.4
Pac-12 Conference - North,28.4
Big Ten Conference - West,27.4
Independent,27.3
Mountain West Conference - Mountain,27.1
Conference USA - East,21.6
Mid-American Conference - West,19.6
American Athletic Conference,17.4
Conference USA - West,16.8
Sun Belt Conference,15.5
Mountain West Conference - West,12.1
Mid-American Conference - East,9.5
FCS,0.8
